# ASIAIR RPC command names, extracted from the ASIAIR Android app v3.0.0
# Source: com.zwoasi.kit.cmd.CmdMethod paired with MainCameraConstants +
# GuiderCameraConstants (jadx over classes6.dex). 289 entries, 0 unresolved.
# This is the app's OWN command table -- authoritative, unlike name probing,
# which had found only ~40% of it.
#
# rpc_name<TAB>app_enum_constant
add_body_to_favorite	ADD_BODY_FROM_FAVORITE
add_body_to_list	ADD_BODY_TO_LIST
add_custom_body	ADD_CUSTOM_BODY
add_custom_list	ADD_CUSTOM_LIST
calibrate_wheel	CMD_WHEEL_CALIBRATE
can_abort_expose	CMD_CHECK_CAN_ABORT_EXPOSE
can_focuser_upgrade	CMD_FOCUSER_CAN_UPGRADE
check_internet	CMD_CHECK_INTERNET
clear_autosave_err	CMD_CLEAR_AUTOSAVE_ERR
clear_batch_stack	CMD_CLEAR_BATCH_STACK
clear_calibration	CMD_GUIDE_CLEAR_CALIBRATION
clear_downgrade	CMD_CLEAR_DOWNGRADED
clear_plan	CMD_CLEAR_PLAN
clear_planet_stack	CMD_CLEAR_PLANET_STACK
clear_sequence	CMD_CLEAR_SEQUENCE
clear_stack	CMD_CLEAR_STACK
close_caa	CMD_CLOSE_CAA
close_camera	CMD_CLOSE_CAMERA
close_focuser	CMD_CLOSE_FOCUSER
close_wheel	CMD_CLOSE_WHEEL
confirm_switch_caa_angle_limit	CMD_COMPLETE_SWITCH_CAA_ANGLE_LIMIT
del_batch_stack_file	CMD_DEL_BATCH_STACK_FILE
del_body_from_favorite	DEL_BODY_FROM_FAVORITE
del_body_from_list	DEL_BODY_FROM_LIST
del_custom_body	DEL_CUSTOM_BODY
del_custom_list	DEL_CUSTOM_LIST
delete_image	CMD_DELETE_IMG_FILE
delete_plan	CMD_DELETE_PLAN
delete_sequence	CMD_DELETE_SEQUENCE
eject_disk	CMD_EJECT_DISK
file_rename	CMD_CHANGE_IMG_FILE_NAME
flip_calibration	CMD_FLIP_CALIBRATE
focuser_upgrade_fw	CMD_FOCUSER_UPGRADE_FW
format_drive	CMD_FORMAT_DRIVE
get_3p_pa_setting	CMD_GET_3P_SETTING
get_3p_pa_state	CMD_GET_3P_STATE
get_algo_param	CMD_GET_ALGO_PARAM
get_annotate_result	CMD_GET_ANNOTATE_RESULT
get_app_setting	CMD_GET_APP_SETTING
get_app_state	CMD_GET_APP_STATE
get_app_state	CMD_GUIDE_GET_APP_STATE
get_auto_load_calibration	CMD_GET_AUTO_LOAD_CALIBRATION
get_batch_stack_setting	CMD_GET_STACK_CONFIG
get_beta_setting	CMD_GUIDE_GET_BETA_SETTING
get_body_from_list	GET_BODY_FROM_LIST
get_caa_info	CMD_GET_CAA_INFO
get_calib_frame	CMD_GET_CALIB_FRAME_NAME
get_calib_param	CMD_GET_CALIB_PARAM
get_calibrated	CMD_GUIDE_GET_CALIBRATED
get_camera_bin	CMD_GET_CAMERA_BIN
get_camera_binning	CMD_GET_CAMERA_BINNING
get_camera_exp_and_bin	CMD_GET_CAMERA_EXP_AND_BIN
get_camera_info	CMD_GET_CAMERA_INFO
get_camera_info	CMD_GUIDE_GET_CAMERA_INFO
get_camera_state	CMD_GET_CAMERA_STATE
get_connected	CMD_GUIDE_GET_CONNECTED
get_connected_cameras	CMD_GET_CONNECTED_CAMERAS
get_connected_focuser	CMD_GET_CONNECTED_FOCUSER
get_connected_mount_info	CMD_GET_CONNECTED_MOUNT_INFO
get_connected_wheels	CMD_GET_CONNECTED_WHEELS
get_control_value	CMD_GET_CONTROL_VALUE
get_controls	CMD_GET_CONTROLS
get_custom_body	GET_CUSTOM_BODY
get_custom_list	GET_CUSTOM_LIST
get_dark_info	CMD_GUIDE_GET_DARK_INFO
get_dawn_dusk_time	CMD_GET_DAWN_DUSK_TIME
get_dec_guide_mode	CMD_GET_DEC_GUIDE_MODE
get_disk_volume	GET_DISK_VOLUME
get_dither	CMD_GET_DITHER
get_enabled_plan	CMD_GET_CURRENT_PLAN
get_exposure	CMD_GET_EXPOSURE
get_find_star_result	CMD_GET_FIND_STAR_RESULT
get_flip_calibration	CMD_GET_FLIP_STATE
get_focal_length	CMD_GET_FOCAL_LENGTH
get_focuser_connect_mode	CMD_GET_FOCUSER_CONNECT_MODE
get_focuser_info	CMD_GET_FOCUSER_INFO
get_focuser_position	CMD_GET_FOCUSER_POSTION
get_focuser_setting	CMD_GET_FOCUSER_SETTING
get_focuser_state	CMD_GET_FOCUSER_STATE
get_focuser_value	CMD_GET_FOCUSER_VALUE
get_gain	CMD_GET_GAIN
get_gain_segment	CMD_GET_GAIN_SEGMENT
get_image_save_path	GET_IMAGE_SAVE_PATH
get_img_file_info	CMD_GET_IMG_FILE_INFO
get_img_file_page_name	CMD_GET_IMG_FILE_BY_PAGE
